fonte_recurso,campo,decisao_proposta,destino_finalidade,justificativa_individual,estado
legado,inscricao_cartografica,Manter,Vínculos e identidade,Identificar unidade/lote/edifício e manter vínculos cadastrais; não juntar unidades por prefixo. Validar formato e domínio de unidade principal.,Proposta de revisão; não implementada
legado,isn_sia_cadiptu_asg,Manter,Vínculos e identidade,Identificar unidade/lote/edifício e manter vínculos cadastrais; não juntar unidades por prefixo. Validar formato e domínio de unidade principal.,Proposta de revisão; não implementada
legado,info_status_ipt,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,status,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,tpedif1,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,tipo_edificacao,Manter,Ficha cadastral e dicionário,"Conservar código e descrição para traduzir domínios, situação e características. Preservar classificação fiscal separada de tipo comercial; nulo/zero não são automaticamente ausência.",Proposta de revisão; não implementada
legado,info_posicao_fiscal_ipt,Excluir,Não migrar,"Controle fiscal/processual, revisão, geração de débito ou parcelas sem necessidade definida para identificação e descrição imobiliária.",Proposta de revisão; não implementada
legado,posicao_fiscal,Excluir,Não migrar,"Controle fiscal/processual, revisão, geração de débito ou parcelas sem necessidade definida para identificação e descrição imobiliária.",Proposta de revisão; não implementada
legado,info_isencao_fiscal_ipt,Excluir,Não migrar,"Controle fiscal/processual, revisão, geração de débito ou parcelas sem necessidade definida para identificação e descrição imobiliária.",Proposta de revisão; não implementada
legado,data_inclusao_ipt,Excluir,Não migrar,Datas/controles de inclusão e recadastramento e horário de operação; não são idade do imóvel e não têm papel definido na ficha consolidada.,Proposta de revisão; não implementada
legado,data_alteracao_ipt,Excluir,Não migrar,Representação redundante da data já mantida em data_alteracao_ipt_dt; validar conversão antes da carga e preservar original no arquivo-fonte.,Proposta de revisão; não implementada
legado,matr_alterador_ipt,Excluir,Não migrar,"Matrícula de operador, número de processo e comentário administrativo interno; explicitamente fora da migração.",Proposta de revisão; não implementada
legado,info_recadastramento_ipt,Excluir,Não migrar,Datas/controles de inclusão e recadastramento e horário de operação; não são idade do imóvel e não têm papel definido na ficha consolidada.,Proposta de revisão; não implementada
legado,codg_lograd_imovel_ipt,Manter,Endereço,Compor endereço e preservar códigos para cruzamento; conferir divergências com GEO360 sem perder complemento da unidade.,Proposta de revisão; não implementada
legado,nome_lograd_imovel_ipt,Manter,Endereço,Compor endereço e preservar códigos para cruzamento; conferir divergências com GEO360 sem perder complemento da unidade.,Proposta de revisão; não implementada
legado,nr_porta,Manter,Endereço,Compor endereço e preservar códigos para cruzamento; conferir divergências com GEO360 sem perder complemento da unidade.,Proposta de revisão; não implementada
legado,complemento,Manter,Endereço,Compor endereço e preservar códigos para cruzamento; conferir divergências com GEO360 sem perder complemento da unidade.,Proposta de revisão; não implementada
legado,quadra_loteamento,Manter,Endereço,Compor endereço e preservar códigos para cruzamento; conferir divergências com GEO360 sem perder complemento da unidade.,Proposta de revisão; não implementada
legado,lote_loteamento,Manter,Endereço,Compor endereço e preservar códigos para cruzamento; conferir divergências com GEO360 sem perder complemento da unidade.,Proposta de revisão; não implementada
legado,codg_bairro_imovel_ipt,Manter,Endereço,Compor endereço e preservar códigos para cruzamento; conferir divergências com GEO360 sem perder complemento da unidade.,Proposta de revisão; não implementada
legado,nome_bairro_bai,Excluir,Não migrar,Vazio no CSV inteiro; obter nome pelo código/vínculo de bairro. Não criar campo vazio redundante.,Proposta de revisão; não implementada
legado,numr_cim_contribuinte_ipt,Excluir,Não migrar,Sem preenchimento no original e sem relação útil demonstrada; usar documentos e vínculos tipados necessários.,Proposta de revisão; não implementada
legado,nome_contribuinte_ipt,Manter,Vínculos de pessoa,Identificar contribuinte e cruzar relação imobiliária por pessoa; dado cadastral não confirma proprietário atual. Não expor automaticamente em ficha pública.,Proposta de revisão; não implementada
legado,info_cpf_cgc_ipt,Manter,Vínculos de pessoa,Identificar contribuinte e cruzar relação imobiliária por pessoa; dado cadastral não confirma proprietário atual. Não expor automaticamente em ficha pública.,Proposta de revisão; não implementada
legado,nome_mae_ipt,Excluir,Não migrar,Não necessários para consolidar imóvel por IPTU e relacionar contribuinte; fora do recorte imobiliário desta migração.,Proposta de revisão; não implementada
legado,data_nascimento_ipt,Excluir,Não migrar,Não necessários para consolidar imóvel por IPTU e relacionar contribuinte; fora do recorte imobiliário desta migração.,Proposta de revisão; não implementada
